date,open,high,low,close,volume,sma_10,sma_20,ema_20,macd_histogram,rsi_14,atr_14,cci_14,momentum_10,roc_12,obv,log_return,body_size,daily_range,upper_shadow,lower_shadow,rolling_std_20,historical_volatility_20,return_lag_1,return_lag_2,return_lag_3,return_lag_4,return_lag_5,rolling_max_20,rolling_min_20,rolling_mean_20,distance_from_high_20,distance_from_low_20,volume_sma_20,volume_ratio,volume_change,price_volume,vnindex,vnindex_volume,vnindex_return,correlation_market_20,beta_20,day_of_week
11/29/2024,59.04,59.31,58.86,59.13,1107140,58.656,59.1825,59.37591938,0.175980165,43.43675418,0.654285714,31.47664636,0.82,-0.621848739,-112812201,0.00152323,0.09,0.45,0.18,0.18,0.782404358,0.103417696,-0.00152207,-0.003034901,0.00764526,0,0.006325868,60.32,57.67,59.1825,0.019728117,0.025316456,2155287.05,0.513685636,-0.131711426,65465188.2,1250.46,396117434,0.006722432,0.66905356,0.627604513,4
12/2/2024,59.13,59.31,58.76,59.04,1232443,58.775,59.132,59.34392706,0.178188897,45.38653367,0.634285714,30.32086528,1.19,-0.773109244,-114044644,-0.00152323,-0.09,0.55,0.18,0.28,0.755600841,0.103155745,0.00152439,-0.00152207,-0.003034901,0.00764526,0,60.32,57.67,59.132,0.021220159,0.023755852,2110848,0.583861557,0.113177195,72763434.72,1251.21,352806149,0.000599779,0.675064027,0.655908153,0
12/3/2024,59.13,59.13,58.49,58.49,2427726,58.857,59.059,59.26260067,0.142130083,38.70246085,0.620714286,-11.59005444,0.82,0.308694907,-116472370,-0.009359381,-0.64,0.64,0,0,0.742831709,0.107464292,-0.00152207,0.00152439,-0.00152207,-0.003034901,0.00764526,60.32,57.67,59.059,0.030338196,0.014218831,2179077.25,1.114107359,0.969848504,141997693.7,1249.83,439728204,-0.001102932,0.660794299,0.668304842,1
12/4/2024,58.4,58.49,57.94,57.94,2749303,58.829,58.9445,59.1366387,0.083652232,34.46215139,0.64,-91.20293236,-0.28,0.155574762,-119221673,-0.009447807,-0.46,0.55,0.09,0,0.729199092,0.108852586,-0.009315718,-0.00152207,0.00152439,-0.00152207,-0.003034901,60.32,57.67,58.9445,0.039456233,0.00468181,2186600.65,1.257341161,0.132460171,159294615.8,1240.41,465502194,-0.007537025,0.671311707,0.737481829,2
12/5/2024,58.12,59.22,57.85,58.86,2221363,58.866,58.8715,59.11029216,0.107809375,55.78947368,0.652857143,-5.870020964,0.37,2.06346454,-117000310,0.01575375,0.74,1.37,0.36,0.27,0.653390147,0.125524055,-0.009403317,-0.009315718,-0.00152207,0.00152439,-0.00152207,60.14,57.67,58.8715,0.021283671,0.020634645,2239929.4,0.991711167,-0.192026852,130749426.2,1267.53,779993372,0.021863739,0.773512571,0.760862789,3
12/6/2024,59.04,59.31,58.67,58.67,1681167,58.847,58.798,59.06835957,0.111410846,59.15178571,0.633571429,26.80976431,-0.19,0.772930265,-118681477,-0.00323322,-0.37,0.64,0.27,0,0.581962198,0.125573151,0.015878495,-0.009403317,-0.009315718,-0.00152207,0.00152439,59.68,57.67,58.798,0.016923592,0.017340038,2244119.75,0.749143177,-0.243182226,98634067.89,1270.14,565715866,0.002059123,0.773049877,0.772305891,4
12/9/2024,59.04,59.04,58.58,58.67,1764954,58.828,58.7475,59.03042057,0.113811055,61.62790698,0.634285714,-7.932910245,-0.19,0.307744914,-118681477,0,-0.37,0.46,0,0.09,0.543980214,0.123283078,-0.003227999,0.015878495,-0.009403317,-0.009315718,-0.00152207,59.5,57.67,58.7475,0.01394958,0.017340038,2195261.75,0.803983397,0.049838594,103549851.2,1273.84,546454671,0.002913065,0.775124301,0.761103462,0
12/10/2024,58.67,58.95,58.49,58.49,1714418,58.746,58.7015,58.97895194,0.103585934,53.4351145,0.607857143,-51.99138859,-0.82,-0.628610262,-120395895,-0.003072723,-0.18,0.46,0.28,0,0.523523236,0.122810941,0,-0.003227999,0.015878495,-0.009403317,-0.009315718,59.5,57.67,58.7015,0.01697479,0.014218831,2194247.7,0.781323822,-0.028633041,100276308.8,1272.07,462691547,-0.001389499,0.773128013,0.763877803,1
12/11/2024,58.49,59.13,58.49,58.76,2027577,58.709,58.6645,58.95809938,0.114465375,53.4351145,0.607857143,-22.82921811,-0.37,-0.169894665,-118368318,0.004605552,0.27,0.64,0.37,0,0.489139685,0.124057096,-0.003068007,0,-0.003227999,0.015878495,-0.009403317,59.5,57.67,58.6645,0.012436975,0.018900642,2156960.8,0.940015692,0.182661988,119140424.5,1268.86,473457175,-0.002523446,0.745285129,0.739853279,2
12/12/2024,58.76,59.41,58.76,59.13,2252448,58.718,58.646,58.97447086,0.144123305,53.4351145,0.595714286,61.63778457,0.09,-0.303490137,-116115870,0.006277059,0.37,0.65,0.28,0,0.462127802,0.126449121,0.004616174,-0.003068007,0,-0.003227999,0.015878495,59.31,57.67,58.646,0.003034901,0.025316456,2180521.35,1.032985988,0.110906269,133187250.2,1267.35,461485561,-0.001190045,0.773943768,0.83905432,3
12/13/2024,58.86,59.04,58.67,58.76,1399402,58.681,58.6685,58.95404507,0.136442952,48.8372093,0.602142857,-15.3016515,-0.37,-0.625739895,-117515272,-0.006277059,-0.1,0.37,0.18,0.09,0.455819389,0.105739602,0.006296801,0.004616174,-0.003068007,0,-0.003227999,59.31,57.67,58.6685,0.00927331,0.018900642,2065641.2,0.677466154,-0.378719509,82228861.52,1262.57,367939049,-0.00377165,0.740712082,0.716799442,4
12/16/2024,58.76,59.68,58.76,59.5,2389158,58.727,58.751,59.00604078,0.17628893,52.06971678,0.622142857,120.0264813,0.46,0.779132791,-115126114,0.012514961,0.74,0.92,0.18,0,0.449150075,0.109363772,-0.006257399,0.006296801,0.004616174,-0.003068007,0,59.5,57.67,58.751,0,0.03173227,1997497.4,1.196075649,0.707270677,142154901,1263.79,360341279,0.000966283,0.678165358,0.681979879,0
12/17/2024,59.41,59.5,59.04,59.13,1206503,58.791,58.824,59.01784642,0.172595294,50,0.622142857,95.00165508,0.64,0,-116332617,-0.006237903,-0.28,0.46,0.09,0.09,0.377071821,0.111607939,0.012593601,-0.006257399,0.006296801,0.004616174,-0.003068007,59.5,57.94,58.824,0.006218487,0.020538488,1921007.8,0.628057314,-0.49500912,71340522.39,1261.72,327584791,-0.00163793,0.688897671,0.7642569,1
12/18/2024,59.5,59.59,59.22,59.22,1616812,58.919,58.874,59.03709914,0.170768244,51.88284519,0.622142857,119.4091687,1.28,0.304878049,-114715805,0.001520913,-0.28,0.37,0.09,0,0.358614292,0.107280135,-0.006218487,0.012593601,-0.006257399,0.006296801,0.004616174,59.5,57.94,58.874,0.004705882,0.022091819,1860839.8,0.868861468,0.34008121,95747606.64,1266,362329721,0.003392195,0.664429701,0.733771219,2
12/19/2024,58.95,59.04,58.49,58.49,2629962,58.882,58.874,58.98499446,0.117487211,44.09594096,0.642142857,-50.90909091,-0.37,0,-117345767,-0.012403523,-0.46,0.55,0.09,0,0.358614292,0.115936976,0.00152207,-0.006218487,0.012593601,-0.006257399,0.006296801,59.5,57.94,58.874,0.01697479,0.009492579,1879559.65,1.399243701,0.626634389,153826477.4,1254.67,628846329,-0.008949447,0.710997049,0.823580068,3
12/20/2024,58.58,59.5,58.58,59.5,3801451,58.965,58.906,59.03404261,0.145523856,53.62776025,0.675,82.19835865,0.83,2.692440456,-113544316,0.017120513,0.92,0.92,0,0,0.384890962,0.129532677,-0.012326917,0.00152207,-0.006218487,0.012593601,-0.006257399,59.5,57.94,58.906,0,0.026924405,1960680.75,1.938842415,0.445439516,226186334.5,1257.5,428104838,0.002255573,0.66413682,0.859811789,4
12/23/2024,59.22,59.5,58.86,58.95,1350461,58.993,58.9105,59.02603855,0.123171886,53.62776025,0.675,50.41666667,0.28,0.152905199,-114894777,-0.009286686,-0.27,0.64,0.28,0.09,0.384850962,0.134147994,0.017267909,-0.012326917,0.00152207,-0.006218487,0.012593601,59.5,57.94,58.9105,0.009243697,0.017431826,1905703.35,0.708641773,-0.644751175,79609675.95,1262.76,363896212,0.004182903,0.617717089,0.832963876,0
12/24/2024,58.95,59.22,58.67,58.86,1290269,59.03,58.888,59.01022535,0.099484426,57.82312925,0.675,-12.73653566,0.37,0.323845236,-116185046,-0.001527884,-0.09,0.55,0.27,0.19,0.373244664,0.131234112,-0.009243697,0.017267909,-0.012326917,0.00152207,-0.006218487,59.5,57.94,58.888,0.010756303,0.015878495,1886311.15,0.684017056,-0.044571446,75945233.34,1260.36,502564849,-0.001900599,0.602652737,0.804564123,1
12/25/2024,58.95,59.41,58.95,58.95,1304582,59.049,58.879,59.0044896,0.087462077,50.89108911,0.616428571,36.30057803,0.19,0.477245611,-114880464,0.001527884,0,0.46,0.46,0,0.36925102,0.130994672,-0.001526718,-0.009243697,0.017267909,-0.012326917,0.00152207,59.5,57.94,58.879,0.009243697,0.017431826,1872111.1,0.696850737,0.011093036,76905108.9,1274.04,666962682,0.010854042,0.581414771,0.728579271,2
12/26/2024,59.23,59.23,58.86,58.86,1711855,59.022,58.87,58.99072869,0.071694903,51.91919192,0.597142857,-5.02994012,-0.27,0.632586767,-116592319,-0.001527884,-0.37,0.37,0,0,0.367308848,0.130995333,0.001529052,-0.001526718,-0.009243697,0.017267909,-0.012326917,59.5,57.94,58.87,0.010756303,0.015878495,1893949.7,0.903854522,0.312186585,100759785.3,1272.87,453389936,-0.000918339,0.58160516,0.727300416,3
12/27/2024,58.95,59.13,58.77,58.86,2445187,59.032,58.8565,58.97827834,0.059987267,51.91919192,0.59,-31.81049069,0.1,0.170183799,-116592319,0,-0.09,0.36,0.18,0.09,0.362175808,0.130853147,-0.001526718,0.001529052,-0.001526718,-0.009243697,0.017267909,59.5,57.94,58.8565,0.010756303,0.015878495,1960852.05,1.247002292,0.428384413,143923706.8,1275.14,552111544,0.001783371,0.584244942,0.743848578,4
12/30/2024,58.67,58.77,58.4,58.4,1492983,58.922,58.8245,58.92320421,0.021944958,49.13957935,0.59,-162.2977346,-1.1,-1.234567901,-118085302,-0.007845853,-0.27,0.37,0.1,0,0.373214698,0.133576939,0,-0.001526718,0.001529052,-0.001526718,-0.009243697,59.5,57.94,58.8245,0.018487395,0.007939247,1973879.05,0.756370052,-0.389419705,87190207.2,1272.02,417365889,-0.00244679,0.592082909,0.76414547,0
12/31/2024,58.49,58.86,58.4,58.49,1643941,58.858,58.8245,58.88194667,0.004440524,47.32673267,0.577142857,-127.095077,-0.64,-0.459496256,-116441361,0.00153991,0,0.46,0.37,0.09,0.373214698,0.12958538,-0.007815155,0,-0.001526718,0.001529052,-0.001526718,59.5,57.94,58.8245,0.01697479,0.009492579,1934689.8,0.849718131,0.101111667,96154109.09,1266.78,367846747,-0.004119432,0.577653856,0.714282317,1
1/2/2025,58.67,58.86,58.21,58.21,1339894,58.757,58.838,58.81795175,-0.022896213,40.72580645,0.577142857,-140.4645077,-1.01,-2.168067227,-117781255,-0.004798638,-0.46,0.65,0.19,0,0.343213912,0.126117271,0.001541096,-0.007815155,0,-0.001526718,0.001529052,59.5,58.21,58.838,0.021680672,0,1864219.35,0.718742674,-0.184950068,77995229.74,1269.71,328258670,0.002312951,0.528315797,0.664491602,3
1/3/2025,58.3,58.4,58.03,58.12,1779619,58.72,58.801,58.75148015,-0.042785069,43.16239316,0.570714286,-159.7409068,-0.37,-1.708100795,-119560874,-0.001547323,-0.18,0.37,0.1,0.09,0.378763918,0.111862373,-0.004787143,0.001541096,-0.007815155,0,-0.001526718,59.5,58.12,58.801,0.023193277,0,1842132.15,0.966064785,0.328178945,103431456.3,1254.59,463010830,-0.011908231,0.270236506,0.393486652,4
1/6/2025,58.12,58.3,57.66,57.66,2108984,58.536,58.7505,58.64752966,-0.08047815,29.09090909,0.550714286,-172.8877761,-1.84,-2.634245187,-121669858,-0.007946146,-0.46,0.64,0.18,0,0.456502436,0.114523163,-0.001546126,-0.004787143,0.001541096,-0.007815155,0,59.5,57.66,58.7505,0.03092437,0,1863523,1.131718793,0.185076131,121604017.4,1246.35,469222998,-0.006567883,0.328192636,0.475285706,0
1/7/2025,57.75,58.12,56.83,56.92,2811099,58.333,58.663,58.48300303,-0.145040161,26.83438155,0.61,-209.8421687,-2.03,-2.684219525,-124480957,-0.012916919,-0.83,1.29,0.37,0.09,0.613472429,0.122081173,-0.007914659,-0.001546126,-0.004787143,0.001541096,-0.007815155,59.5,56.92,58.663,0.043361345,0,1915830.25,1.467300665,0.332916229,160007755.1,1246.95,461894014,0.000481406,0.281913346,0.441377005,1
1/8/2025,57.2,57.29,56.46,56.92,2057556,58.139,58.5845,58.3341456,-0.175503002,25.42735043,0.636428571,-199.145792,-1.94,-4.336134454,-124480957,0,-0.28,0.83,0.09,0.46,0.726762649,0.122039237,-0.012833854,-0.007914659,-0.001546126,-0.004787143,0.001541096,59.5,56.92,58.5845,0.043361345,0,1932987.15,1.064443703,-0.26805993,117116087.5,1251.02,335193426,0.003263964,0.283860588,0.436048375,2
1/9/2025,57.01,57.1,56.55,57.01,1504291,57.945,58.497,58.20803649,-0.176852636,31.68316832,0.623571429,-147.6963792,-1.94,-3.290924512,-122976666,0.001579918,0,0.55,0.09,0.46,0.805592949,0.120543784,0,-0.012833854,-0.007914659,-0.001546126,-0.004787143,59.5,56.92,58.497,0.041848739,0.001581167,1906822.85,0.788899189,-0.268894261,85759629.91,1245.77,267483879,-0.004196576,0.284942933,0.428602242,3
1/10/2025,56.92,57.1,56.55,56.55,1192540,57.714,58.368,58.05012825,-0.194580556,7.736389685,0.590714286,-129.42148,-2.31,-3.924566769,-124169206,-0.008101488,-0.37,0.55,0.18,0,0.899939179,0.11902246,0.001581167,0,-0.012833854,-0.007914659,-0.001546126,59.5,56.55,58.368,0.049579832,0,1853827.45,0.643285328,-0.207241152,67438137,1230.48,443618084,-0.012273534,0.3435229,0.455600103,4
1/13/2025,56.46,57.1,56.37,56.64,1104262,57.492,58.262,57.91583032,-0.18610154,11.88118812,0.597142857,-107.5693505,-2.22,-3.918575064,-123064944,0.001590247,0.18,0.73,0.46,0.09,0.973207394,0.118735558,-0.00806876,0.001581167,0,-0.012833854,-0.007914659,59.5,56.55,58.262,0.048067227,0.001591512,1839070.45,0.600445731,-0.07402519,62545399.68,1235.65,398593541,0.004201612,0.348822738,0.452824024,0
1/14/2025,56.64,57.01,56.55,56.83,1149837,57.335,58.1285,57.81241791,-0.154835077,17.57188498,0.590714286,-84.75267581,-1.57,-3.448861706,-121915107,0.003348906,0.19,0.46,0.18,0.09,0.977565585,0.107906822,0.001591512,-0.00806876,0.001581167,0,-0.012833854,59.5,56.55,58.1285,0.04487395,0.00495137,1777104.4,0.647028391,0.041271908,65345236.71,1229.07,297547932,-0.005325133,0.308154072,0.360111999,1
1/15/2025,57.29,57.47,56.92,56.92,1219841,57.178,58.018,57.72742573,-0.116953791,17.57188498,0.597142857,-50.79651338,-1.57,-3.295956507,-120695266,0.001582418,-0.37,0.55,0.18,0,0.983289859,0.107675057,0.00335452,0.001591512,-0.00806876,0.001581167,0,59.5,56.55,58.018,0.043361345,0.006542882,1777771.3,0.686163063,0.060881673,69433349.72,1236.18,359903149,0.005784862,0.328250046,0.369115145,2
1/16/2025,57.47,57.75,56.92,57.1,1687939,57.067,57.912,57.6676709,-0.070902109,22.67080745,0.63,-30.45889586,-1.11,-2.226027397,-119007327,0.003157343,-0.37,0.83,0.28,0.18,0.960907466,0.108516741,0.001583671,0.00335452,0.001591512,-0.00806876,0.001581167,59.5,56.55,57.912,0.040336134,0.009725906,1781327.65,0.94757357,0.383736897,96381316.9,1242.36,372990685,0.004999272,0.341019956,0.38191809,3
1/17/2025,57.38,57.38,57.2,57.2,890720,56.975,57.8475,57.62313081,-0.027087301,25,0.624285714,-22.43063697,-0.92,-2.205505215,-118116607,0.001749782,-0.18,0.18,0,0,0.963359664,0.101693405,0.003162333,0.001583671,0.00335452,0.001591512,-0.00806876,59.5,56.55,57.8475,0.038655462,0.011494253,1694365.55,0.525695296,-0.472303205,50949184,1249.11,331281862,0.005433208,0.273649661,0.294425577,4
