date,close,predicted,predicted_name,actual,actual_name,prob_bear,prob_neutral,prob_bull,correct
2024-07-26,58.21,1,Neutral,2.0,Bull,0.2406,0.394,0.3654,False
2024-07-29,59.44,2,Bull,2.0,Bull,0.1972,0.2825,0.5203,True
2024-07-30,59.89,2,Bull,2.0,Bull,0.204,0.1474,0.6486,True
2024-07-31,63.34,0,Bear,0.0,Bear,0.4969,0.3002,0.2029,True
2024-08-01,62.19,2,Bull,2.0,Bull,0.3133,0.2307,0.456,True
2024-08-02,63.25,0,Bear,0.0,Bear,0.4838,0.2592,0.257,True
2024-08-05,61.39,2,Bull,2.0,Bull,0.1474,0.3247,0.5279,True
2024-08-06,64.31,2,Bull,2.0,Bull,0.1682,0.197,0.6348,True
2024-08-07,65.28,0,Bear,0.0,Bear,0.4263,0.3023,0.2714,True
2024-08-08,64.31,2,Bull,2.0,Bull,0.2137,0.1309,0.6555,True
2024-08-09,64.84,1,Neutral,1.0,Neutral,0.2793,0.439,0.2818,True
2024-08-12,64.57,2,Bull,2.0,Bull,0.1548,0.1728,0.6724,True
2024-08-13,65.28,1,Neutral,1.0,Neutral,0.2912,0.5067,0.2021,True
2024-08-14,65.46,1,Neutral,1.0,Neutral,0.188,0.6597,0.1524,True
2024-08-15,65.28,0,Bear,1.0,Neutral,0.4521,0.3073,0.2406,False
2024-08-16,65.28,2,Bull,2.0,Bull,0.1514,0.1986,0.65,True
2024-08-19,67.23,0,Bear,0.0,Bear,0.428,0.3168,0.2552,True
2024-08-20,66.87,1,Neutral,1.0,Neutral,0.2584,0.4623,0.2793,True
2024-08-21,66.61,0,Bear,0.0,Bear,0.4871,0.2593,0.2537,True
2024-08-22,65.64,2,Bull,2.0,Bull,0.1894,0.3264,0.4841,True
2024-08-23,66.26,2,Bull,0.0,Bear,0.2534,0.3012,0.4454,False
2024-08-26,64.93,1,Neutral,1.0,Neutral,0.3206,0.5178,0.1616,True
2024-08-27,65.02,1,Neutral,2.0,Bull,0.2153,0.4231,0.3616,False
2024-08-28,65.37,0,Bear,0.0,Bear,0.4264,0.1498,0.4237,True
2024-08-29,65.02,2,Bull,2.0,Bull,0.2283,0.1748,0.5968,True
2024-08-30,65.37,2,Bull,2.0,Bull,0.223,0.1294,0.6476,True
2024-09-04,65.72,2,Bull,2.0,Bull,0.1262,0.1884,0.6854,True
2024-09-05,66.08,2,Bull,2.0,Bull,0.1794,0.1897,0.6309,True
2024-09-06,66.7,0,Bear,0.0,Bear,0.4689,0.3086,0.2225,True
2024-09-09,66.17,0,Bear,1.0,Neutral,0.4136,0.4035,0.1829,False
2024-09-10,66.26,1,Neutral,1.0,Neutral,0.1406,0.6279,0.2315,True
2024-09-11,65.99,1,Neutral,1.0,Neutral,0.378,0.4547,0.1673,True
2024-09-12,66.08,0,Bear,0.0,Bear,0.433,0.4066,0.1604,True
