id,event_name_vi,event_name_en,ticker,event_code,event_title_vi,event_title_en,display_date1,display_date2,public_date,record_date,exright_date,exercise_ratio,category,payout_date,value_per_share,start_date,end_date,action_type_vi,action_type_en,issue_date,listing_date
6708f3d60ec61045ab7f93e8,Giao dịch nội bộ: Giao dịch người liên quan,Director Deal: Related Person transactions,HPG,DDRP,"Trần Vũ Minh - Đăng kí Mua 42,890,300 HPG","Tran Vu Minh - Subscribe to Buy 42,890,300 HPG shares",2023-11-01T00:00:00,2023-11-08T00:00:00,2023-11-08T00:00:00,,,,MAJOR_SHAREHOLDER_TRADING,,,2023-11-01T00:00:00,2023-11-06T00:00:00,Mua,Buy,,
6708f3d60ec61045ab7f93e6,Giao dịch nội bộ: Giao dịch cá nhân,Director Deal: Individual transactions,HPG,DDIND,"Trần Đình Long - Đăng kí Bán 16,320,000 HPG","Tran Dinh Long - Subscribe to Sell 16,320,000 HPG shares",2023-11-01T00:00:00,2023-11-08T00:00:00,2023-11-08T00:00:00,,,,MAJOR_SHAREHOLDER_TRADING,,,2023-11-01T00:00:00,2023-11-01T00:00:00,Bán,Sell,,
6708f3d40ec61045ab7f8e52,Giao dịch nội bộ: Giao dịch người liên quan,Director Deal: Related Person transactions,HPG,DDRP,"Nguyễn Đức Tuấn - Đăng kí Bán 135,135 HPG","Nguyen Duc Tuan - Subscribe to Sell 135,135 HPG shares",2023-05-17T00:00:00,2023-05-23T00:00:00,2023-05-23T00:00:00,,,,MAJOR_SHAREHOLDER_TRADING,,,2023-05-17T00:00:00,2023-05-19T00:00:00,Bán,Sell,,
6708f3d40ec61045ab7f8d2f,Giao dịch nội bộ: Giao dịch người liên quan,Director Deal: Related Person transactions,HPG,DDRP,"Trần Thị Phương Liên - Đăng kí Bán 273,737 HPG","Tran Thi Phuong Lien - Subscribe to Sell 273,737 HPG shares",2023-03-30T00:00:00,2023-04-10T00:00:00,2023-04-10T00:00:00,,,,MAJOR_SHAREHOLDER_TRADING,,,2023-03-30T00:00:00,2023-04-03T00:00:00,Bán,Sell,,
6708f3d40ec61045ab7f8c1a,Giao dịch nội bộ: Giao dịch cá nhân,Director Deal: Individual transactions,HPG,DDIND,"Hoàng Quang Việt - Đăng kí Bán 2,000,000 HPG","Hoang Quang Viet - Subscribe to Sell 2,000,000 HPG shares",2023-02-20T00:00:00,2023-02-24T00:00:00,2023-02-24T00:00:00,,,,MAJOR_SHAREHOLDER_TRADING,,,2023-02-20T00:00:00,2023-02-22T00:00:00,Bán,Sell,,
6708f3d40ec61045ab7f8c19,Giao dịch nội bộ: Giao dịch người liên quan,Director Deal: Related Person transactions,HPG,DDRP,"Hoàng Nhật Minh - Đăng kí Mua 1,000,000 HPG","Hoang Nhat Minh - Subscribe to Buy 1,000,000 HPG shares",2023-02-22T00:00:00,2023-02-24T00:00:00,2023-02-24T00:00:00,,,,MAJOR_SHAREHOLDER_TRADING,,,2023-02-22T00:00:00,2023-02-22T00:00:00,Mua,Buy,,
6708f3d40ec61045ab7f8c18,Giao dịch nội bộ: Giao dịch người liên quan,Director Deal: Related Person transactions,HPG,DDRP,"Hoàng Nhật Anh - Đăng kí Mua 1,000,000 HPG","Hoang Nhat Anh - Subscribe to Buy 1,000,000 HPG shares",2023-02-20T00:00:00,2023-02-24T00:00:00,2023-02-24T00:00:00,,,,MAJOR_SHAREHOLDER_TRADING,,,2023-02-20T00:00:00,2023-02-20T00:00:00,Mua,Buy,,
6708f3740ec61045ab7e66fa,Đại hội Đồng Cổ đông,Annual General Meeting,HPG,AGME,HPG - Tổ chức ĐHĐCĐ thường niên 2023,HPG - Holds 2023 AGM,2023-03-30T00:00:00,2023-02-24T00:00:00,2023-02-10T00:00:00,2023-02-27T00:00:00,2023-02-24T00:00:00,,SHAREHOLDER_MEETING,,,,,,,2023-03-30T00:00:00,
6708f3720ec61045ab7e62ad,Niêm yết thêm,Additional Listing,HPG,AIS,"HPG - Niêm yết bổ sung 1,341,862,994 cổ phiếu","HPG- Lists additional 1,341,862,994 shares",2022-07-19T00:00:00,2022-07-18T00:00:00,2022-07-18T00:00:00,,,,OTHER,,,,,,,2022-07-19T00:00:00,
6708f3d10ec61045ab7f849f,Giao dịch nội bộ: Giao dịch người liên quan,Director Deal: Related Person transactions,HPG,DDRP,"Nguyễn Hà My - Đăng kí Mua 5,000,000 HPG","Nguyen Ha My - Subscribe to Buy 5,000,000 HPG shares",2022-07-07T00:00:00,2022-07-13T00:00:00,2022-07-13T00:00:00,,,,MAJOR_SHAREHOLDER_TRADING,,,2022-07-07T00:00:00,2022-07-11T00:00:00,Mua,Buy,,
